patient	well_fov	input_subparent_name	mask_subparent_name
NF0030_T1	G2-1	zstack_images	segmentation_masks
NF0030_T1	G2-2	zstack_images	segmentation_masks
NF0030_T1	G2-3	zstack_images	segmentation_masks
NF0035_T1	C9-7	zstack_images	segmentation_masks
NF0037_T1	D8-5	zstack_images	segmentation_masks
NF0037_T1	E4-7	zstack_images	segmentation_masks
NF0037_T1	E9-3	zstack_images	segmentation_masks
NF0037_T1	E9-7	zstack_images	segmentation_masks
NF0037_T1	F11-3	zstack_images	segmentation_masks
NF0037_T1	F11-4	zstack_images	segmentation_masks
NF0037_T1	F2-2	zstack_images	segmentation_masks
NF0037_T1	F3-1	zstack_images	segmentation_masks
NF0037_T1	F3-4	zstack_images	segmentation_masks
NF0037_T1	F3-7	zstack_images	segmentation_masks
NF0037_T1	F7-3	zstack_images	segmentation_masks
NF0037_T1	G7-1	zstack_images	segmentation_masks
NF0037_T1	G9-7	zstack_images	segmentation_masks
NF0037_T1_CQ1	B10-4	zstack_images	segmentation_masks
NF0037_T1_CQ1	B10-8	zstack_images	segmentation_masks
NF0037_T1_CQ1	B2-14	zstack_images	segmentation_masks
NF0037_T1_CQ1	B2-2	zstack_images	segmentation_masks
NF0037_T1_CQ1	B2-8	zstack_images	segmentation_masks
NF0037_T1_CQ1	B2-9	zstack_images	segmentation_masks
NF0037_T1_CQ1	B3-10	zstack_images	segmentation_masks
NF0037_T1_CQ1	B3-15	zstack_images	segmentation_masks
NF0037_T1_CQ1	B3-3	zstack_images	segmentation_masks
NF0037_T1_CQ1	B3-9	zstack_images	segmentation_masks
NF0037_T1_CQ1	B4-1	zstack_images	segmentation_masks
NF0037_T1_CQ1	B4-10	zstack_images	segmentation_masks
NF0037_T1_CQ1	B4-5	zstack_images	segmentation_masks
NF0037_T1_CQ1	B5-4	zstack_images	segmentation_masks
NF0037_T1_CQ1	B8-13	zstack_images	segmentation_masks
NF0037_T1_CQ1	B8-2	zstack_images	segmentation_masks
NF0037_T1_CQ1	B8-4	zstack_images	segmentation_masks
NF0037_T1_CQ1	C11-1	zstack_images	segmentation_masks
NF0037_T1_CQ1	C2-1	zstack_images	segmentation_masks
NF0037_T1_CQ1	C3-10	zstack_images	segmentation_masks
NF0037_T1_CQ1	C3-11	zstack_images	segmentation_masks
NF0037_T1_CQ1	C3-3	zstack_images	segmentation_masks
NF0037_T1_CQ1	C3-5	zstack_images	segmentation_masks
NF0037_T1_CQ1	C3-6	zstack_images	segmentation_masks
NF0037_T1_CQ1	C5-4	zstack_images	segmentation_masks
NF0037_T1_CQ1	C6-7	zstack_images	segmentation_masks
NF0037_T1_CQ1	C7-8	zstack_images	segmentation_masks
NF0037_T1_CQ1	C8-3	zstack_images	segmentation_masks
NF0037_T1_CQ1	C8-8	zstack_images	segmentation_masks
NF0037_T1_CQ1	C9-4	zstack_images	segmentation_masks
NF0037_T1_CQ1	C9-9	zstack_images	segmentation_masks
NF0037_T1_CQ1	D10-10	zstack_images	segmentation_masks
NF0037_T1_CQ1	D10-2	zstack_images	segmentation_masks
NF0037_T1_CQ1	D10-9	zstack_images	segmentation_masks
NF0037_T1_CQ1	D11-11	zstack_images	segmentation_masks
NF0037_T1_CQ1	D11-8	zstack_images	segmentation_masks
NF0037_T1_CQ1	D11-9	zstack_images	segmentation_masks
NF0037_T1_CQ1	D2-17	zstack_images	segmentation_masks
NF0037_T1_CQ1	D2-21	zstack_images	segmentation_masks
NF0037_T1_CQ1	D2-9	zstack_images	segmentation_masks
NF0037_T1_CQ1	D4-5	zstack_images	segmentation_masks
NF0037_T1_CQ1	D4-9	zstack_images	segmentation_masks
NF0037_T1_CQ1	D5-17	zstack_images	segmentation_masks
NF0037_T1_CQ1	D5-2	zstack_images	segmentation_masks
NF0037_T1_CQ1	D5-8	zstack_images	segmentation_masks
NF0037_T1_CQ1	D6-10	zstack_images	segmentation_masks
NF0037_T1_CQ1	D6-12	zstack_images	segmentation_masks
NF0037_T1_CQ1	D6-3	zstack_images	segmentation_masks
NF0037_T1_CQ1	D7-3	zstack_images	segmentation_masks
NF0037_T1_CQ1	D7-4	zstack_images	segmentation_masks
NF0037_T1_CQ1	D7-6	zstack_images	segmentation_masks
NF0037_T1_CQ1	D7-7	zstack_images	segmentation_masks
NF0037_T1_CQ1	D8-13	zstack_images	segmentation_masks
NF0037_T1_CQ1	E10-11	zstack_images	segmentation_masks
NF0037_T1_CQ1	E10-9	zstack_images	segmentation_masks
NF0037_T1_CQ1	E11-1	zstack_images	segmentation_masks
NF0037_T1_CQ1	E2-3	zstack_images	segmentation_masks
NF0037_T1_CQ1	E3-1	zstack_images	segmentation_masks
NF0037_T1_CQ1	E5-1	zstack_images	segmentation_masks
NF0037_T1_CQ1	E6-8	zstack_images	segmentation_masks
NF0037_T1_CQ1	E6-9	zstack_images	segmentation_masks
NF0037_T1_CQ1	E7-14	zstack_images	segmentation_masks
NF0037_T1_CQ1	E9-6	zstack_images	segmentation_masks
NF0037_T1_CQ1	E9-7	zstack_images	segmentation_masks
NF0037_T1_CQ1	F10-29	zstack_images	segmentation_masks
NF0037_T1_CQ1	F10-7	zstack_images	segmentation_masks
NF0037_T1_CQ1	F3-6	zstack_images	segmentation_masks
NF0037_T1_CQ1	F4-9	zstack_images	segmentation_masks
NF0037_T1_CQ1	F7-10	zstack_images	segmentation_masks
NF0037_T1_CQ1	F7-12	zstack_images	segmentation_masks
NF0037_T1_CQ1	F7-5	zstack_images	segmentation_masks
NF0037_T1_CQ1	F7-7	zstack_images	segmentation_masks
NF0037_T1_CQ1	F9-5	zstack_images	segmentation_masks
NF0037_T1_CQ1	G10-4	zstack_images	segmentation_masks
NF0037_T1_CQ1	G11-4	zstack_images	segmentation_masks
NF0037_T1_CQ1	G11-7	zstack_images	segmentation_masks
NF0037_T1_CQ1	G3-5	zstack_images	segmentation_masks
NF0037_T1_CQ1	G4-3	zstack_images	segmentation_masks
NF0037_T1_CQ1	G4-5	zstack_images	segmentation_masks
NF0037_T1_CQ1	G5-4	zstack_images	segmentation_masks
NF0037_T1_CQ1	G5-6	zstack_images	segmentation_masks
NF0037_T1_CQ1	G6-5	zstack_images	segmentation_masks
NF0037_T1_CQ1	G7-4	zstack_images	segmentation_masks
NF0037_T1_CQ1	G7-9	zstack_images	segmentation_masks
NF0037_T1_CQ1	G9-3	zstack_images	segmentation_masks
NF0037_T1_CQ1	G9-5	zstack_images	segmentation_masks
NF0040_T1	B10-6	zstack_images	segmentation_masks
NF0040_T1	B3-6	zstack_images	segmentation_masks
NF0040_T1	B7-3	zstack_images	segmentation_masks
NF0040_T1	B9-4	zstack_images	segmentation_masks
NF0040_T1	C6-3	zstack_images	segmentation_masks
NF0040_T1	C6-6	zstack_images	segmentation_masks
NF0040_T1	C8-2	zstack_images	segmentation_masks
NF0040_T1	C8-4	zstack_images	segmentation_masks
NF0040_T1	D2-4	zstack_images	segmentation_masks
NF0040_T1	D3-4	zstack_images	segmentation_masks
NF0040_T1	D3-6	zstack_images	segmentation_masks
NF0040_T1	D5-2	zstack_images	segmentation_masks
NF0040_T1	D5-7	zstack_images	segmentation_masks
NF0040_T1	D6-2	zstack_images	segmentation_masks
NF0040_T1	D6-4	zstack_images	segmentation_masks
NF0040_T1	D6-5	zstack_images	segmentation_masks
NF0040_T1	D6-7	zstack_images	segmentation_masks
NF0040_T1	D8-1	zstack_images	segmentation_masks
NF0040_T1	E10-7	zstack_images	segmentation_masks
NF0040_T1	F10-2	zstack_images	segmentation_masks
NF0040_T1	F3-2	zstack_images	segmentation_masks
NF0040_T1	F3-6	zstack_images	segmentation_masks
NF0040_T1	G10-5	zstack_images	segmentation_masks
NF0040_T1	G2-2	zstack_images	segmentation_masks
NF0055_T1	B11-2	zstack_images	segmentation_masks
NF0055_T1	B11-5	zstack_images	segmentation_masks
NF0055_T1	B3-5	zstack_images	segmentation_masks
NF0055_T1	C10-5	zstack_images	segmentation_masks
NF0055_T1	C11-3	zstack_images	segmentation_masks
NF0055_T1	C5-1	zstack_images	segmentation_masks
NF0055_T1	C8-6	zstack_images	segmentation_masks
NF0055_T1	D3-4	zstack_images	segmentation_masks
NF0055_T1	D4-7	zstack_images	segmentation_masks
NF0055_T1	D8-2	zstack_images	segmentation_masks
NF0055_T1	E2-3	zstack_images	segmentation_masks
NF0055_T1	F10-1	zstack_images	segmentation_masks
NF0055_T1	F3-2	zstack_images	segmentation_masks
NF0055_T1	G2-2	zstack_images	segmentation_masks
SARCO219_T2	C10-2	zstack_images	segmentation_masks
SARCO219_T2	C3-1	zstack_images	segmentation_masks
SARCO219_T2	C6-3	zstack_images	segmentation_masks
SARCO219_T2	C7-1	zstack_images	segmentation_masks
SARCO219_T2	D11-1	zstack_images	segmentation_masks
SARCO219_T2	D2-2	zstack_images	segmentation_masks
SARCO219_T2	D6-1	zstack_images	segmentation_masks
SARCO219_T2	D6-4	zstack_images	segmentation_masks
SARCO219_T2	D7-2	zstack_images	segmentation_masks
SARCO219_T2	D7-4	zstack_images	segmentation_masks
SARCO219_T2	D8-3	zstack_images	segmentation_masks
SARCO219_T2	E10-3	zstack_images	segmentation_masks
SARCO219_T2	E2-2	zstack_images	segmentation_masks
SARCO219_T2	E2-3	zstack_images	segmentation_masks
SARCO219_T2	E3-3	zstack_images	segmentation_masks
SARCO219_T2	E5-2	zstack_images	segmentation_masks
SARCO219_T2	E5-4	zstack_images	segmentation_masks
SARCO219_T2	E6-2	zstack_images	segmentation_masks
SARCO219_T2	E6-4	zstack_images	segmentation_masks
SARCO219_T2	E7-4	zstack_images	segmentation_masks
SARCO219_T2	F11-4	zstack_images	segmentation_masks
SARCO219_T2	F2-4	zstack_images	segmentation_masks
SARCO219_T2	F3-1	zstack_images	segmentation_masks
SARCO219_T2	F3-4	zstack_images	segmentation_masks
SARCO219_T2	F5-1	zstack_images	segmentation_masks
SARCO219_T2	F5-4	zstack_images	segmentation_masks
SARCO219_T2	F8-4	zstack_images	segmentation_masks
SARCO219_T2	F9-1	zstack_images	segmentation_masks
SARCO219_T2	F9-3	zstack_images	segmentation_masks
SARCO219_T2	G11-2	zstack_images	segmentation_masks
SARCO219_T2	G11-4	zstack_images	segmentation_masks
SARCO219_T2	G2-1	zstack_images	segmentation_masks
SARCO219_T2	G4-1	zstack_images	segmentation_masks
SARCO219_T2	G8-2	zstack_images	segmentation_masks
SARCO219_T2	G9-1	zstack_images	segmentation_masks
SARCO361_T1	C2-7	zstack_images	segmentation_masks
SARCO361_T1	C5-4	zstack_images	segmentation_masks
SARCO361_T1	C9-3	zstack_images	segmentation_masks
SARCO361_T1	D10-4	zstack_images	segmentation_masks
SARCO361_T1	D2-1	zstack_images	segmentation_masks
SARCO361_T1	D6-1	zstack_images	segmentation_masks
SARCO361_T1	E10-2	zstack_images	segmentation_masks
